Учетный день,Количество гостей,"Сумма без скидки, р.","Средняя выручка с гостя, р."
17.08.2021,203,789.23,3.84
18.08.2021,235,885.55,3.74
19.08.2021,273,1095.15,3.96
20.08.2021,245,931.05,3.73
21.08.2021,108,462.01,4.22
22.08.2021,82,335.04,4.02
23.08.2021,236,977.25,4.07
24.08.2021,269,1095.23,3.99
25.08.2021,239,1056.57,4.40
26.08.2021,320,1311.24,4.07
27.08.2021,277,1216.90,4.33
28.08.2021,137,564.43,4.08
29.08.2021,84,361.03,4.24
30.08.2021,262,1006.32,3.81
31.08.2021,318,1205.42,3.77
01.09.2021,409,1853.36,3.90
02.09.2021,385,1614.99,4.16
03.09.2021,371,1556.46,4.14
04.09.2021,195,850.07,4.34
05.09.2021,103,464.32,4.43
06.09.2021,429,1764.19,4.08
07.09.2021,395,1535.08,3.86
08.09.2021,382,1548.33,4.00
09.09.2021,409,1613.23,3.90
10.09.2021,384,1525.18,3.95
11.09.2021,222,984.09,4.40
12.09.2021,112,467.52,4.07
13.09.2021,394,1519.44,3.83
14.09.2021,416,1623.06,3.89
15.09.2021,353,1518.10,4.26
16.09.2021,414,1640.47,3.95
17.09.2021,356,1477.36,4.11
18.09.2021,212,856.35,4.01
19.09.2021,86,368.01,4.23
20.09.2021,382,1504.50,3.92
21.09.2021,324,1271.47,3.88
22.09.2021,374,1490.08,3.96
23.09.2021,351,1382.11,3.91
24.09.2021,356,1387.71,3.87
25.09.2021,215,939.05,4.31
26.09.2021,110,504.01,4.54
27.09.2021,404,1533.73,3.77
28.09.2021,369,1499.62,4.04
29.09.2021,391,1565.00,3.99
30.09.2021,396,1527.16,3.82
01.10.2021,400,1582.91,3.93
02.10.2021,211,820.40,3.84
03.10.2021,104,437.03,4.14
04.10.2021,382,1433.13,3.73
05.10.2021,362,1487.20,4.09
06.10.2021,391,1515.63,3.85
07.10.2021,410,1647.03,3.98
08.10.2021,379,1537.45,4.03
09.10.2021,276,1175.08,4.24
10.10.2021,131,555.00,4.20
11.10.2021,390,1496.61,3.82
12.10.2021,374,1466.62,3.90
13.10.2021,375,1513.44,4.02
14.10.2021,392,1600.61,4.07
15.10.2021,349,1392.26,3.99
16.10.2021,250,1070.04,4.25
17.10.2021,105,464.01,4.38
18.10.2021,340,1363.64,3.99
19.10.2021,364,1523.04,4.14
20.10.2021,300,1213.36,4.01
21.10.2021,341,1350.38,3.92
22.10.2021,317,1222.71,3.82
23.10.2021,233,978.09,4.18
24.10.2021,127,568.21,4.41
25.10.2021,328,1305.71,3.93
26.10.2021,383,1515.08,3.94
27.10.2021,346,1311.89,3.77
28.10.2021,330,1322.89,3.97
29.10.2021,363,1627.91,4.05
30.10.2021,219,985.64,4.46
31.10.2021,103,433.02,4.12
01.11.2021,308,1190.71,3.83
02.11.2021,338,1371.47,4.01
03.11.2021,307,1197.40,3.85
04.11.2021,307,1262.41,4.08
05.11.2021,333,1282.13,3.82
06.11.2021,273,1148.07,4.19
07.11.2021,117,505.04,4.27
08.11.2021,330,1221.05,3.67
09.11.2021,323,1280.44,3.94
10.11.2021,328,1298.19,3.90
11.11.2021,322,1276.14,3.92
12.11.2021,312,1340.04,4.25
13.11.2021,218,907.04,4.11
14.11.2021,115,528.04,4.51
15.11.2021,315,1198.97,3.74
16.11.2021,316,1252.26,3.90
17.11.2021,328,1313.43,3.92
18.11.2021,330,1376.14,4.07
19.11.2021,322,1355.98,4.14
20.11.2021,270,1252.87,4.59
21.11.2021,147,642.61,4.31
22.11.2021,365,1365.07,3.70
23.11.2021,353,1436.12,4.00
24.11.2021,374,1496.45,3.95
25.11.2021,387,1482.13,3.77
26.11.2021,332,1520.10,4.06
27.11.2021,323,1453.37,4.48
28.11.2021,139,555.03,3.95
29.11.2021,329,1225.13,3.67
30.11.2021,351,1445.38,4.05
01.12.2021,350,1526.16,4.31
02.12.2021,353,1616.14,4.51
03.12.2021,347,1548.13,4.39
04.12.2021,235,1024.10,4.31
05.12.2021,108,564.02,5.19
06.12.2021,329,1388.15,4.14
07.12.2021,328,1442.18,4.34
08.12.2021,354,1530.20,4.28
09.12.2021,317,1357.15,4.21
10.12.2021,323,1417.15,4.33
11.12.2021,215,1034.09,4.71
12.12.2021,87,456.01,5.15
13.12.2021,348,1524.08,4.32
14.12.2021,357,1553.09,4.18
15.12.2021,321,1424.09,4.27
16.12.2021,359,1604.12,4.31
17.12.2021,311,1391.08,4.27
18.12.2021,234,1047.09,4.39
19.12.2021,121,601.03,4.91
20.12.2021,344,1494.19,4.29
21.12.2021,319,1436.14,4.41
22.12.2021,326,1542.12,4.65
23.12.2021,328,1436.16,4.30
24.12.2021,310,1506.10,4.44
25.12.2021,140,670.04,4.69
27.12.2021,296,1338.17,4.48
28.12.2021,333,1446.16,4.25
29.12.2021,269,1220.09,4.48
30.12.2021,273,1216.10,4.41
03.01.2022,200,877.07,4.30
04.01.2022,287,1243.08,4.26
05.01.2022,306,1395.11,4.52
06.01.2022,242,1044.08,4.25
10.01.2022,322,1387.13,4.18
11.01.2022,278,1135.12,4.01
12.01.2022,274,1210.08,4.36
13.01.2022,269,1132.08,4.12
14.01.2022,247,1069.10,4.26
15.01.2022,207,989.03,4.72
17.01.2022,249,1091.08,4.32
18.01.2022,237,1051.05,4.32
19.01.2022,269,1186.11,4.33
20.01.2022,283,1165.12,4.02
21.01.2022,253,1109.06,4.29
22.01.2022,176,883.08,4.99
24.01.2022,209,881.07,4.17
25.01.2022,211,856.03,3.98
26.01.2022,220,947.04,4.26
27.01.2022,199,888.07,4.37
28.01.2022,184,787.06,4.22
29.01.2022,145,636.07,4.34
31.01.2022,187,825.08,4.35
01.02.2022,187,756.05,3.99
02.02.2022,179,728.07,4.02
03.02.2022,188,783.06,4.15
04.02.2022,192,746.11,3.86
05.02.2022,174,702.08,3.99
07.02.2022,215,886.11,4.07
08.02.2022,243,991.15,3.99
09.02.2022,242,1040.11,4.25
10.02.2022,225,985.05,4.36
11.02.2022,244,1246.02,4.36
12.02.2022,178,834.06,4.67
14.02.2022,260,1127.14,4.25
15.02.2022,256,1080.06,4.05
16.02.2022,275,1207.13,4.29
17.02.2022,246,1071.14,4.26
18.02.2022,260,1134.09,4.24
19.02.2022,198,927.04,4.61
21.02.2022,268,1187.08,4.15
22.02.2022,290,1208.13,3.89
23.02.2022,289,1271.06,4.22
24.02.2022,264,1089.12,3.93
25.02.2022,245,1104.14,4.35
26.02.2022,212,1052.09,4.73
28.02.2022,270,1070.14,3.92
01.03.2022,264,1099.15,4.12
02.03.2022,269,1111.19,4.09
03.03.2022,254,1114.08,4.36
04.03.2022,207,889.03,4.25
05.03.2022,192,862.07,4.43
07.03.2022,150,626.11,4.12
09.03.2022,277,1108.16,3.96
10.03.2022,263,1069.15,4.03
11.03.2022,246,1059.13,4.22
12.03.2022,197,892.05,4.46
14.03.2022,323,1308.08,4.02
15.03.2022,305,1385.10,4.50
16.03.2022,326,1314.13,4.00
